"Country",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.95215904,22.73538798,21.96318078,21.53155467,24.12855501,24.2594639,21.3907023,22.77350378,21.27084148,21.29038484,22.04518214,21.72861048,24.68558812,35.59251951,34.29631497,35.39557065,39.61459295,43.16868996,46.73026339,45.93353434,44.08805655,44.12813518,40.4859493,40.92467495,39.75315161,40.2004164,37.36650547,38.70065582,40.21749669
El Salvador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.87739801,18.53459601,20.7520556,18.50858278,18.90894838,18.56387897,21.03497484,18.62477022,19.28749793,19.65041354,20.96278892,21.67533888,22.50927812,22.62641669,21.49759178,22.4284215,23.41229536,22.82699936,24.54826419,25.95801332,25.59062612,25.27523636,27.38270919,28.49452684,27.60833108,27.10758146,27.46163723,27.76347031,27.26286805,27.2079336,32.69962923,31.67886404,28.84126754,30.83559577
Equatorial Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,115.3596299,118.9856876,182.999634,227.9468078,116.7967353,212.9313225,284.5164711,594.7697869,256.3074107,509.8442696,141.5013868,22.94291415,14.75259509,35.08712707,18.68598936,22.64532188,13.47648993,11.25452556,13.90774246,10.79319762,14.12182875,18.09293865,19.68894342,19.89269239,39.84715722,31.17890716,27.49252761,35.19963368,29.27359677,31.59790183,41.57078264,27.81849431,20.06960395,19.05344763,16.7993639,16.16560205,12.71487389,15.02271794,19.82713954
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.52723036,38.63643972,35.80535063,38.90315852,40.65521025,36.36634671,34.93699558,35.86403794,35.02724481,34.05272641,33.71131158,33.4311879,33.73580065,39.44901353,45.85021518,40.27266758,37.28020662,38.87693403,37.91792928,37.17596062,38.8108262,38.61424781,38.45759996,38.51923409,38.41555546,44.18561404,41.51448061,39.31092873,43.10170302
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.30576557,18.87501945,18.13269934,16.96215779,16.95303564,18.99858159,18.80417853,16.75081799,16.56120537,15.37636908,17.70573558,19.01562716,24.00888084,22.29197856,22.72317548,19.2955769,21.84423962,20.05521924,21.39604978,25.03400824,24.00469416,24.82596916,25.71598033,25.11574547,30.06568813,28.14067238,26.76427649,29.50491473,32.4502218,32.87983541,30.15277021,24.40465987,26.27273072,27.9471842,31.6043272,33.61998411,34.24113893,35.06414647,34.59797002,34.01048107,33.25274576,28.99785278,29.44590959,30.10935492
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.4964053,14.18288102,16.40741627,21.25065319,18.8237993,19.69787219,19.84802686,18.38084695,21.56999429,24.01661126,20.85872374,17.32103666,14.23534932,13.773496,17.6251609,17.38949742,18.78934947,17.9403103,21.12963139,26.80883857,25.59829459,22.43806725,24.86954558,27.04148114,23.14907361,22.89002928,22.06701617,20.52142422,18.75603072,17.11277509,18.4832356,18.22813019,16.64824062,17.75578891,17.48370684,17.32573465,17.91296873,17.98671979,16.09935926,15.35276872,14.46925516,13.79758676,12.69645996,10.82146395
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.10504835,26.69573637,24.85581055,23.50809154,27.2132437,29.24003606,27.71652836,24.59866071,24.17333985,26.98923765,28.11955108,26.73665287,24.69435521,24.03459909,25.3960427,23.50708909,22.8345289,26.19502491,25.547916,26.50392129,26.01671269,25.90904047,30.18908373,30.64387954,32.08174605,28.11372126,32.4779277,30.39156499,31.61220922,34.34588532,33.52608774,30.33849667
Finland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.86274004,7.254899979,7.647059917,8.800000191,8.163269997,8.958330154,7.450980186,6.607140064,6.166669846,6.190480232,6.557380199,6.774189949,7.34375,8.181819916,7.36111021,6.75,10.7954998,7.444449902,6.804120064,11.91489983,11.84780025,10.19799995,11.53849983,11.0092001,9.655170441,10.56910038,13.43999958,13.79850006,11.72929955,11.34749985,10.92109966,11.5625,11.84710026,11.50290012,11.02880001,12.9442997,20.09259987,19.60370064,15.25549984,16.77020073,14.46329975,18.42099953,15.67160034,18.20280075,18.05310059,15.77079964,18.46150017,17.01889992,19.75,19.9531002,13.95349979,14.0692997,15.70880032,16.47270012,16.03960037,16.52659988,14.10389996,22.35289955,48.95100021,58.38040161,42.55319977,40.33209991,46.51160049,29.45199966,45.66210175,29.62960052,22.29269981,27.63509941,23.8757,20.7609005,21.16559982,22.67700005,19.83169937,20.84679985,21.90159988,21.14389992,22.11269951,20.63750076,22.46910095,22.71199989,23.93910027,21.62619972,22.80080032,23.21430016,23.27619934,23.54630089,25.49580002,22.15119934,21.85339928,22.84289932,20.42830086,21.7954998,22.9090004,38.57,39.84,41.66,41.28,40.31,40.08,41.04,42.74,44.39,44.38,46.29,46.94,47.75,46.43,44.39,47.88,56.68,61.8,64.16,62.58,61.05,59.5,56.07,52.32,50.98,47.94,47.28,48.47,49.34,49.12,49.02,48.07,46.57,47.88,54.09,53.91,53.74465609,55.6213756,57.04604982,57.56381919,56.81043998,56.11147939,54.01324397,53.73881546,53.63788058,57.585231,56.27100384,53.87075198,56.64883548
France,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.24330044,13.64840031,13.23880005,13.63650036,13.59529972,13.81270027,13.05799961,12.96930027,12.54090023,11.83909988,11.35579967,11.10770035,11.77779961,12.25889969,12.25010014,12.64080048,11.97929955,11.58450031,11.05959988,11.01900005,11.42169952,12.14039993,11.60289955,10.61340046,11.00360012,11.16059971,10.81569958,10.01519966,10.77260017,10.43859959,10.56359959,10.08670044,9.609000206,10.22169971,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.20409966,13.78499985,13.8842001,12.77270031,17.76059914,18.64620018,20.06879997,16.34880066,23.89019966,24.40320015,20.24539948,15.91539955,17.57670021,no data,no data,no data,no data,no data,no data,no data,no data,22.12030029,25.15060043,24.66200066,25.55050087,24.11759949,23.59199905,25.30610085,25.16340065,22.16049957,19.89019966,21.44039917,21.11109924,19.59840012,19.92510033,22.17840004,21.90679932,21.68029976,22.59160042,21.02809906,21.05550003,21.38809967,21.38940048,22.72850037,21.46159935,20.49819946,20.03899956,19.77569962,19.74860001,19.87479973,22.03860092,21.69249916,21.43239975,44.71020126,44.92229843,45.96099854,48.53160095,49.87039948,50.23730087,51.22109985,51.88399887,51.28250122,50.71099854,50.0564003,48.92699814,49.58349991,50.69179916,52.00059891,55.06999969,54.06620026,54.3905983,54.50030136,54.18310165,52.75939941,52.59970093,51.68889999,51.66279984,52.87379837,53.40090179,53.26050186,53.56940079,52.97579956,52.60879898,53.28089905,56.73770142,56.6271019,57.00871085,57.88955254,58.58932856,58.39163908,57.59511439,57.37920503,57.66509388,56.36923056,55.3447959,61.69670911,59.46329137,58.39721176,56.98939399
Gabon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.59269934,25.08368556,26.5374632,26.87939597,23.90900706,25.07372897,22.22800465,29.69681908,45.4971458,25.4969178,20.29727153,27.83309341,25.72234833,21.24973121,20.87402856,20.76763906,21.1348336,19.38837436,18.92910078,22.59828307,23.09072042,22.07360378,23.94958037,34.67456873,23.75548401,22.25333399,21.84773545,18.11373199,17.13016652,17.40729008,19.77562912,17.25392802,19.6532112,22.18660093
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.65191758,18.403723,21.41255998,18.74297721,19.67949981,16.91722516,16.82195505,15.9848075,16.08306518,18.85253261,21.60801307,22.65699134,27.650599,31.77379465,34.83505686,30.96260806,27.13176082,27.73353271,26.59736533,27.51467776,26.99220267,27.8155534,27.2096357,26.72241871,28.67135618,34.10672553,31.18883479,29.0218448,29.91856007
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.31280041,11.16670036,12.41530037,12.47280025,12.64290047,13.15130043,13.63780022,14.92990017,15.19509983,15.27760029,16.31649971,16.86910057,16.83679962,16.17840004,17.0571003,16.32040024,16.79319954,16.7609005,17.84280014,16.78070068,17.85490036,18.85350037,19.35350037,18.52079964,16.84219933,16.43499947,17.20949936,17.77179909,18.42040062,20.00379944,19.46990013,18.99370003,17.64319992,37.68939972,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.22539997,14.20899963,12.67090034,14.10809994,14.28190041,16.33650017,12.67850018,12.57279968,11.04570007,12.72509956,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.16839981,30.16390038,30.39430046,30.43250084,30.71759987,29.92709923,29.53339958,28.63080025,29.00379944,29.31469917,22.93889999,28.83259964,29.22039986,29.10490036,28.99970055,28.3682003,28.28190041,28.80200005,28.46039963,29.68350029,39.46160126,40.92060089,41.79529953,42.37519836,46.01710129,50.32139969,49.44499969,49.04090118,47.74679947,47.44499969,48.22719955,49.02519989,49.12360001,47.91910172,47.1595993,46.56129837,45.67610168,45.98199844,45.57939911,44.28829956,44.72980118,46.25049973,47.17670059,48.14659882,47.8207016,54.85800171,49.05810165,48.22439957,48.00230026,48.22219849,45.09700012,47.61309814,47.94720078,48.4618988,47.07379913,46.90930176,45.34730148,43.51490021,44.04520035,48.09809875,47.8742981,45.27470968,45.08341725,45.15080494,44.4977003,44.50579294,44.71861106,44.56628571,44.68871771,45.56349862,51.1298056,50.70916044,49.00198541,48.38002174
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.50150013,15.31309986,15.79940033,14.20330048,9.115550041,11.54080009,12.31809998,11.18929958,12.17029953,11.68449974,11.44810009,9.352330208,9.517149925,13.20359993,12.8380003,10.4659996,6.535349846,9.140250206,7.773394538,5.816466797,4.76453213,3.634733455,4.880837632,6.361186679,7.816987204,7.893566111,7.832303713,7.80496544,7.096366167,7.638679982,9.967620582,13.17086168,13.85055128,13.92980959,13.35624746,12.89927381,12.72202227,11.98023948,12.90100451,14.77458892,11.42211113,12.99635365,14.72900737,13.81845315,15.38505041,17.98812338,17.67580036,17.48231151,19.88033354,19.52589996,21.97697683,21.56445169,20.96633503,18.62333631,19.89057839,17.5822052,20.89523773,22.49058472,31.51092069,27.21197934,27.49252013,19.55147395
Greece,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.55260086,24.69799995,15.15450001,17.74760056,21.38769913,23.50650024,22.04949951,21.55489922,20.96450043,31.09250069,25.70219994,21.69099998,19.33959961,15.36330032,16.97290039,15.37870026,17.06550026,22.86730003,51.41820145,17.49880028,19.75390053,18.55500031,20.57920074,17.74690056,18.06100082,17.36389923,18.50270081,17.81110001,19.17079926,18.12490082,19.6541996,19.32119942,20.11639977,17.6651001,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.66200066,20.56040001,40.8064003,25.99979973,30.4204998,22.01160049,20.97800064,20.44549942,22.05200005,21.4958992,19.7234993,18.88360023,20.91939926,no data,no data,no data,no data,no data,no data,no data,no data,21.52639961,24.3628006,27.09029961,26.91250038,25.64789963,17.63769913,20.0366993,19.94190025,29.26329994,19.26589966,20.59519958,19.36919975,19.95350075,19.34289932,19.6909008,19.52499962,20.40880013,21.66230011,22.84499931,24.57049942,26.33099937,29.70499992,25.17250061,25.83919907,26.84819984,24.32430077,25.25580025,28.66460037,29.0583992,30.1378994,30.10040092,24.14840899,24.17761452,27.69354717,28.30252191,29.82439939,31.51110415,33.762575,33.30349509,33.56031694,33.35304857,34.30643009,37.96845979,34.70600572,36.39345731,38.08987698,36.41131019,45.99972492,45.08300934,43.70590051,45.14915066,46.15412213,46.42566619,45.98610456,45.79691278,46.59179262,47.61459829,45.56161016,45.1167163,47.06942061,50.84540544,54.08442237,52.9572915,55.12025585,54.1483571,52.46035787,51.16229209,51.55840967,50.27922845,48.66638407,48.85616156,48.07540221,60.19790844,57.67921173,53.11721398,49.85834145
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.97305792,26.83086017,21.79542171,23.13032505,24.74903855,23.24221178,26.25140179,26.56971206,25.30026413,23.74165341,25.60894724,29.56569172,35.74618119,28.70689256,24.72436864,26.56490864,32.36377919,27.66355434,27.89837856,27.15684189,27.98087857,28.32243006,26.21723505,28.11540829,28.69146733,25.26071678,23.52679713,22.58914824,22.36939416,21.64261419,32.68188059,31.24428271,31.80843411,28.92467449
