Entity,Year,Immigrants to Australia: Where did they move from?
Cambodia,2005,27620
Cambodia,2010,31666
Cambodia,2015,34438
Cambodia,2020,41140
Cambodia,2024,43862
Cameroon,1990,12
Cameroon,1995,19
Cameroon,2000,67
Cameroon,2005,130
Cameroon,2010,268
Cameroon,2015,450
Cameroon,2020,581
Cameroon,2024,695
Canada,1990,23243
Canada,1995,27132
Canada,2000,30253
Canada,2005,36359
Canada,2010,44589
Canada,2015,52593
Canada,2020,56241
Canada,2024,57190
Cayman Islands,1990,6
Cayman Islands,1995,10
Cayman Islands,2000,20
Cayman Islands,2005,38
Cayman Islands,2010,78
Cayman Islands,2015,135
Cayman Islands,2020,167
Cayman Islands,2024,197
Central African Republic,1990,8
Central African Republic,1995,10
Central African Republic,2000,7
Central African Republic,2005,10
Central African Republic,2010,20
Central African Republic,2015,33
Central African Republic,2020,141
Central African Republic,2024,191
Chad,1990,7
Chad,1995,10
Chad,2000,40
Chad,2005,40
Chad,2010,57
Chad,2015,68
Chad,2020,94
Chad,2024,110
Chile,1990,26408
Chile,1995,26944
Chile,2000,26068
Chile,2005,26877
Chile,2010,28291
Chile,2015,30250
Chile,2020,33595
Chile,2024,35849
China,1990,73079
China,1995,109378
China,2000,144919
China,2005,227597
China,2010,369549
China,2015,509635
China,2020,632690
China,2024,656264
Colombia,1990,1610
Colombia,1995,2603
Colombia,2000,4032
Colombia,2005,5794
Colombia,2010,12284
Colombia,2015,19945
Colombia,2020,39104
Colombia,2024,59674
Congo,1990,0
Congo,1995,0
Congo,2000,132
Congo,2005,644
Congo,2010,1022
Congo,2015,1606
Congo,2020,2324
Congo,2024,2688
Cook Islands,1990,2280
Cook Islands,1995,2897
Cook Islands,2000,4621
Cook Islands,2005,5469
Cook Islands,2010,6647
Cook Islands,2015,8049
Cook Islands,2020,7984
Cook Islands,2024,7834
Costa Rica,1990,323
Costa Rica,1995,348
Costa Rica,2000,352
Costa Rica,2005,380
Costa Rica,2010,437
Costa Rica,2015,505
Costa Rica,2020,616
Costa Rica,2024,674
Cote d'Ivoire,1990,21
Cote d'Ivoire,1995,33
Cote d'Ivoire,2000,62
Cote d'Ivoire,2005,171
Cote d'Ivoire,2010,467
Cote d'Ivoire,2015,595
Cote d'Ivoire,2020,657
Cote d'Ivoire,2024,682
Croatia,1990,55533
Croatia,1995,57434
Croatia,2000,58254
Croatia,2005,69644
Croatia,2010,68492
Croatia,2015,61762
Croatia,2020,54563
Croatia,2024,47534
Cuba,1990,423
Cuba,1995,494
Cuba,2000,508
Cuba,2005,612
Cuba,2010,745
Cuba,2015,882
Cuba,2020,972
Cuba,2024,1008
Curacao,1990,81
Curacao,1995,89
Curacao,2000,90
Curacao,2005,102
Curacao,2010,117
Curacao,2015,148
Curacao,2020,150
Curacao,2024,157
Cyprus,1990,24057
Cyprus,1995,23367
Cyprus,2000,22831
Cyprus,2005,22457
Cyprus,2010,21355
Cyprus,2015,20077
Cyprus,2020,18425
Cyprus,2024,16610
Czechia,1990,13964
Czechia,1995,13817
Czechia,2000,13107
Czechia,2005,13727
Czechia,2010,13588
Czechia,2015,13236
Czechia,2020,11756
Czechia,2024,10450
Democratic Republic of Congo,1990,183
Democratic Republic of Congo,1995,296
Democratic Republic of Congo,2000,306
Democratic Republic of Congo,2005,390
Democratic Republic of Congo,2010,2423
Democratic Republic of Congo,2015,4318
Democratic Republic of Congo,2020,6895
Democratic Republic of Congo,2024,8028
Denmark,1990,9385
Denmark,1995,9670
Denmark,2000,9939
Denmark,2005,10481
Denmark,2010,10609
Denmark,2015,10235
Denmark,2020,9646
Denmark,2024,8927
Djibouti,1990,53
Djibouti,1995,69
Djibouti,2000,82
Djibouti,2005,113
Djibouti,2010,134
Djibouti,2015,190
Djibouti,2020,200
Djibouti,2024,204
Dominican Republic,1990,29
Dominican Republic,1995,43
Dominican Republic,2000,70
Dominican Republic,2005,108
Dominican Republic,2010,141
Dominican Republic,2015,208
Dominican Republic,2020,260
Dominican Republic,2024,313
East Timor,1990,0
East Timor,1995,0
East Timor,2000,1991
East Timor,2005,10733
East Timor,2010,10587
East Timor,2015,9992
East Timor,2020,10247
East Timor,2024,11546
Ecuador,1990,1183
Ecuador,1995,1343
Ecuador,2000,1457
Ecuador,2005,1655
Ecuador,2010,1934
Ecuador,2015,2758
Ecuador,2020,2836
Ecuador,2024,3550
Egypt,1990,37470
Egypt,1995,38550
Egypt,2000,37608
Egypt,2005,38735
Egypt,2010,41795
Egypt,2015,44717
Egypt,2020,47278
Egypt,2024,46879
El Salvador,1990,10849
El Salvador,1995,10890
El Salvador,2000,10670
El Salvador,2005,10750
El Salvador,2010,10945
El Salvador,2015,11360
El Salvador,2020,11260
El Salvador,2024,10898
Eritrea,1990,865
Eritrea,1995,1184
Eritrea,2000,1765
Eritrea,2005,2293
Eritrea,2010,3072
Eritrea,2015,4662
Eritrea,2020,6230
Eritrea,2024,6928
Estonia,1990,2805
Estonia,1995,2547
Estonia,2000,1963
Estonia,2005,1654
Estonia,2010,2228
Estonia,2015,3443
Estonia,2020,3553
Estonia,2024,3498
Eswatini,1990,114
Eswatini,1995,146
Eswatini,2000,235
Eswatini,2005,270
Eswatini,2010,340
Eswatini,2015,385
Eswatini,2020,370
Eswatini,2024,359
Ethiopia,1990,1491
Ethiopia,1995,2306
Ethiopia,2000,3642
Ethiopia,2005,6064
Ethiopia,2010,8939
Ethiopia,2015,13123
Ethiopia,2020,15644
Ethiopia,2024,17141
Falkland Islands,1990,114
Falkland Islands,1995,115
Falkland Islands,2000,130
Falkland Islands,2005,120
Falkland Islands,2010,130
Falkland Islands,2015,120
Falkland Islands,2020,92
Falkland Islands,2024,79
Fiji,1990,33513
Fiji,1995,39284
Fiji,2000,46792
Fiji,2005,54816
Fiji,2010,63911
Fiji,2015,72652
Fiji,2020,76355
Fiji,2024,83435
Finland,1990,9389
Finland,1995,9390
Finland,2000,9412
Finland,2005,9503
Finland,2010,9523
Finland,2015,9175
Finland,2020,8576
Finland,2024,7752
France,1990,13349
France,1995,16013
France,2000,18100
France,2005,21133
France,2010,28213
France,2015,36539
France,2020,40124
France,2024,40681
French Polynesia,1990,212
French Polynesia,1995,255
French Polynesia,2000,343
French Polynesia,2005,392
French Polynesia,2010,465
French Polynesia,2015,535
French Polynesia,2020,543
French Polynesia,2024,521
Gabon,1990,3
Gabon,1995,5
Gabon,2000,20
Gabon,2005,30
Gabon,2010,30
Gabon,2015,47
Gabon,2020,50
Gabon,2024,57
Gambia,1990,12
Gambia,1995,19
